id,unit,skill,use,format,prompt,answer,answer_alt,distractors,explanation
a1-u02-q014,2,grammar,checkpoint,choice,"What does ""O bua eng?"" ask about?",What you speak or say,,Where you are from|What your name is|Who you are,"eng = what; O bua eng? = what do you speak / say?"
a1-u02-q015,2,grammar,checkpoint,type,"Write in Setswana: ""My name is Neo.""",Leina la me ke Neo,,,Leina la me ke… = my name is…
a1-u02-q016,2,grammar,checkpoint,choice,Someone asks you "Leina la gago ke mang?" What is a good answer?,Leina la me ke Kabelo,,Ke tswa kwa Gaborone|Ee|Ga ke tlhaloganye,The reply uses leina la me (my name): Leina la me ke Kabelo.
a1-u02-q017,2,grammar,checkpoint,choice,When would you say "Bua ka bonya tswee-tswee"?,When someone speaks too fast for you,,When you say goodbye|To thank someone|To greet an elder,ka bonya = slowly; ask for slower speech when you cannot follow.
a1-u02-q018,2,grammar,checkpoint,type,Fill in for you (several people): ___ bua eng?,Lo,,,Lo is the concord for you (several people): Lo bua eng?
a1-u02-q019,2,reading,checkpoint,choice,Who speaks first in the dialogue?,Rra Tau,,Neo|Both together|Neither,Rra Tau opens with Dumela mma. O tsogile jang?
a1-u02-q020,2,reading,checkpoint,type,How does Rra Tau give his name? Write his words.,Leina la me ke Tau,,,He says Leina la me ke Tau — my name is Tau.
a1-u02-q021,2,reading,checkpoint,choice,Where is Neo from?,Gaborone,,Molepolole|Francistown|Kanye,She says Ke tswa kwa Gaborone.
a1-u02-q022,2,reading,checkpoint,choice,Which languages does Rra Tau speak?,Setswana le Sekgoa,,Setswana fela|Sekgoa fela|Neither language,"He says he speaks Setswana le Sekgoa — Setswana and English."
a1-u02-q023,2,reading,checkpoint,choice,Why does Neo say Bua ka bonya tswee-tswee?,She does not understand Setswana and wants it slowly,,She is in a hurry|She wants to say goodbye|She cannot hear Rra Tau,Neo says Ga ke tlhaloganye Setswana — she does not understand and asks for slow speech.
a1-u02-q024,2,reading,checkpoint,choice,Who is leaving at the end and how do you know?,"Neo — Rra Tau says Tsamaya sentle to her",,"Rra Tau — Neo says Tsamaya sentle to him|Neo — she says Tsamaya sentle|Rra Tau — he says Sala sentle",The one staying says Tsamaya sentle; the one leaving replies Sala sentle.
a1-u03-q001,3,grammar,drill,choice,What is the plural of mosadi?,basadi,,bamosadi|bosadi|banna,Class 1 mo- becomes class 2 ba-: mosadi → basadi.
a1-u03-q002,3,grammar,drill,choice,What is the plural of mosetsana?,bosetsana,,basetsana|bamosetsana|bosimane,1a nouns add bo-: mosetsana → bosetsana.
a1-u03-q003,3,grammar,drill,type,Write the plural of mosimane.,bosimane,,,1a noun — the plural adds bo-: mosimane → bosimane.
a1-u03-q004,3,grammar,drill,type,Write the plural of ngwana.,bana,,,ngwana → bana is irregular — learn the pair.
a1-u03-q005,3,grammar,drill,choice,How do you say "my child"?,ngwana wa me,,ngwana ba me|ngwana wa gagwe|ngwana me,"One person owner: wa + me."
a1-u03-q006,3,grammar,drill,choice,How do you say "her children"?,bana ba gagwe,,bana wa gagwe|bana ba me|bana gagwe,"People: ba + gagwe."
a1-u03-q007,3,grammar,drill,choice,How do you say "your mother" (to one person)?,mmago,,mme|mmaagwe|mmemogolo,Kinship has fused forms: mmago = your mother.
a1-u03-q008,3,grammar,drill,type,Write the Setswana for "his father".,rraagwe,,,Fused form: rraagwe = his or her father.
a1-u03-q009,3,grammar,drill,choice,Which pair follows the mo- → ba- plural rule?,motho → batho,,mosetsana → bosetsana|ngwana → bana|lelapa → malapa,Class 1 mo- takes the class 2 plural ba-.
a1-u03-q010,3,grammar,drill,type,"Fill in: ___ yo ke wa me. (this woman is mine)",Mosadi,mosadi,,Mosadi yo ke wa me. — This woman is mine.
a1-u03-q011,3,grammar,checkpoint,choice,What is the plural of motho?,batho,,botho|bana|bathu,Class 1 mo- → class 2 ba-: motho → batho.
a1-u03-q012,3,grammar,checkpoint,choice,How do you say "his wife"?,mosadi wa gagwe,,mosadi wa me|mosadi ba gagwe|mosadi gagwe,"One person: wa + gagwe."
a1-u03-q013,3,grammar,checkpoint,type,Write the Setswana for "your father" (to one person).,rrago,,,Fused form: rrago = your father.
a1-u03-q014,3,grammar,checkpoint,choice,What is the plural of kgaitsadi?,bokgaitsadi,,bakgaitsadi|makgaitsadi|dikgaitsadi,1a noun — the plural adds bo-: bokgaitsadi.
a1-u03-q015,3,grammar,checkpoint,choice,"What does ""Yo ke mmemogolo wa gagwe."" mean?",This is his or her grandmother,,This is my grandmother|This is your grandmother|This is his or her grandfather,mmemogolo = grandmother; wa gagwe = his or her.
a1-u03-q016,3,grammar,checkpoint,type,Write in Setswana: my children,bana ba me,,,People owner: ba + me.
a1-u03-q017,3,grammar,checkpoint,choice,You point at a photo of your own mother. What do you say?,Yo ke mme.,,Yo ke mmago.|Yo ke mmaagwe.|Yo ke mma.,"Talking about your own mother, use the fused form mme."
a1-u03-q018,3,grammar,checkpoint,type,"Fill in: Bana ba ___ ke mosetsana le mosimane. (my)",me,,,ba + me = my (people): Bana ba me.
a1-u03-q019,3,reading,checkpoint,choice,What is Lesedi showing Bontle?,A family photo,,A bus stop|A market|A school,She says Yo ke lelapa la me — this is my family.
a1-u03-q020,3,reading,checkpoint,type,How does Lesedi say "This is my family"? Write her words.,Yo ke lelapa la me,,,Her words are Yo ke lelapa la me.
a1-u03-q021,3,reading,checkpoint,choice,"When Bontle asks ""Yo ke mmago?"", what does Lesedi answer?",Ee yo ke mme.,,Nnyaa yo ke mmaagwe.|Ee yo ke rre.|Ee yo ke mmago.,Lesedi confirms: yo ke mme — this is my mother.
a1-u03-q022,3,reading,checkpoint,choice,Which children does Lesedi have?,A girl and a boy,,Two boys|Two girls|One child,She says Bana ba me ke mosetsana le mosimane.
a1-u03-q023,3,reading,checkpoint,choice,Who is Thabo?,The boy in the photo,,Lesedi's father|Bontle's brother|The grandfather,Lesedi answers about the mosimane: Leina la gagwe ke Thabo.
a1-u03-q024,3,reading,checkpoint,choice,Who is leaving at the end and how do you know?,"Lesedi — Bontle says Tsamaya sentle to her",,"Bontle — Lesedi says Tsamaya sentle to her|Lesedi — she says Tsamaya sentle|Bontle — she says Sala sentle",The one staying says Tsamaya sentle; Lesedi replies Sala sentle — so she is leaving.
a1-u04-q001,4,grammar,drill,choice,How do you say "I don't want bread"?,Ga ke batle borotho,,Ga ke batla borotho.|Ke ga batle borotho.|Ga ke nwe borotho.,batla → batle: final -a becomes -e after ga ke.
a1-u04-q002,4,grammar,drill,choice,How do you say "I don't drink tea"?,Ga ke nwe tee,,Ga ke nwa tee.|Ga ke je tee.|Ke nwe tee.,nwa → nwe by the -a → -e rule.
a1-u04-q003,4,grammar,drill,type,"Fill in: Ke batla nama. Ga ke ___. (I don't want)",batle,,,batla → batle after ga ke.
a1-u04-q004,4,grammar,drill,type,Write in Setswana: I don't drink.,Ga ke nwe,,,nwa → nwe: final -a becomes -e.
a1-u04-q005,4,grammar,drill,type,"Fill in: Ga ke ___ nama. (I don't eat)",je,,,ja is irregular in negation: ga ke je.
a1-u04-q006,4,grammar,drill,choice,How do you say "we don't want"?,Ga re batle,,Ga re batla.|Ga ke batle.|Re ga batle.,Same rule with re: ga re + -e.
a1-u04-q007,4,grammar,drill,choice,"What does ""Ke kopa metsi"" mean?",I would like water (polite),,I want to drink|I am buying water|I don't want water,kopa = ask for; Ke kopa… is the polite way to order.
a1-u04-q008,4,grammar,drill,choice,What does "Ke lapile" mean?,I'm hungry,,I'm full|I'm fine|I'm leaving,Ke lapile = I'm hungry.
a1-u04-q009,4,grammar,drill,choice,Which phrase means the opposite of "Ke lapile"?,Ke kuneng,,Ke lapile fela|Ke a ja|Ga ke lapile,Ke kuneng = I'm full.
a1-u04-q010,4,grammar,drill,type,"Fill in: Tee ___ kofi? (tea or coffee?)",kgotsa,,,kgotsa = or.
a1-u04-q011,4,grammar,checkpoint,choice,How do you say "They don't eat meat"?,Ga ba je nama,,Ga ba ja nama.|Ga ke je nama.|Ba ga je nama.,Same rule with ba; ja stays irregular: ga ba je.
a1-u04-q012,4,grammar,checkpoint,choice,How do you ask "What do you want"?,O batla eng?,,O ja eng?|O bua eng?|Leina la gago ke mang?,batla = want; eng = what.
a1-u04-q013,4,grammar,checkpoint,type,Write in Setswana: I don't want meat.,Ga ke batle nama,,,Ke batla → Ga ke batle: -a becomes -e.
a1-u04-q014,4,grammar,checkpoint,choice,Someone asks you "A o batla tee?" You don't want it. What do you say?,Nnyaa ga ke batle tee.,,Ee ga ke batle tee.|Nnyaa ke batla tee.|Nnyaa ga ke nwe tee.,Nnyaa = no; negation needs -e: ga ke batle.
a1-u04-q015,4,grammar,checkpoint,choice,Which negation is correct?,Ga ke nwe metsi,,Ga ke nwa metsi.|Ga ke je metsi.|Ga o nwe metsi.,nwa → nwe after ga ke.
a1-u04-q016,4,grammar,checkpoint,type,"Fill in: Re batla bogobe. Ga re ___ borotho. (we don't want)",batle,,,Same rule with re: ga re batle.
a1-u04-q017,4,grammar,checkpoint,choice,"What does ""Ga ke je nama"" mean?",I don't eat meat,,I don't want meat|I am eating meat|I don't buy meat,ja is irregular: ga ke je = I don't eat.
a1-u04-q018,4,grammar,checkpoint,type,"Fill in: ___ batla eng? (they)",Ba,,,The concord for they is ba: Ba batla eng?
a1-u04-q019,4,reading,checkpoint,choice,Where does this dialogue happen?,At a place to eat,,At a bus stop|At a family photo|At school,Mma Kefilwe asks about food: O batla eng?
a1-u04-q020,4,reading,checkpoint,type,What does Tumelo want? Write his words about food.,Ke batla nama le bogobe,,,He says Ke batla nama le bogobe — I want meat and porridge.
a1-u04-q021,4,reading,checkpoint,choice,What does Tumelo drink?,Water,,Tea|Coffee|Fruit,He says Ga ke nwe tee kgotsa kofi. Metsi tswee-tswee.
a1-u04-q022,4,reading,checkpoint,choice,Does Tumelo want morogo?,Yes — he says Ke batla morogo,,No — he says Ga ke batle morogo.|Yes — he says Ee ke ja morogo.|No — he says Ga ke je morogo.,He answers Ee ke batla morogo to A o ja morogo?
a1-u04-q023,4,reading,checkpoint,choice,What does Tumelo refuse?,Fruit,,Water|Morogo|Porridge,He says Ga ke batle maungo — I don't want fruit.
a1-u04-q024,4,reading,checkpoint,choice,Who serves and what does she ask first?,Mma Kefilwe — O batla eng?,,Tumelo — O batla eng?|Mma Kefilwe — Ke lapile|Tumelo — Ke batla nama,Mma Kefilwe greets and asks O batla eng?
a1-u05-q001,5,grammar,drill,choice,Which word means two?,pedi,,tharo|nne|shome,pedi = two.
a1-u05-q002,5,grammar,drill,type,Write the number 7 in Setswana.,supa,,,supa = seven.
a1-u05-q003,5,grammar,drill,choice,Which means eleven?,lesome le nngwe,,masome a nngwe|lesome le pedi|shome le nngwe,lesome le nngwe = ten and one.
a1-u05-q004,5,grammar,drill,choice,Which means twenty?,masome a mabedi,,masome a pedi|lesome le mabedi|masome a mabedi le nngwe,Twenty is masome a mabedi.
a1-u05-q005,5,grammar,drill,choice,"What does ""dipula di le nne"" mean?",Four pula,,Four years|Two pula|Ten pula,Quantity pattern: dipula (pula) + di le + nne (four).
a1-u05-q006,5,grammar,drill,choice,"What does ""Ke na le madi"" mean?",I have money,,I don't have money|How much money?|Buy money,Ke na le… = I have…
a1-u05-q007,5,grammar,drill,choice,How do you ask someone's age?,O na le dingwaga di le kae?,,O kae?|O tswa kae?|O na le madi?,dingwaga = years; kae asks the number.
a1-u05-q008,5,grammar,drill,type,Write the number 3 in Setswana.,tharo,,,tharo = three.
a1-u05-q009,5,grammar,drill,type,"Fill in: Dingwaga ___ le tlhano. (five years)",di,,,Quantity pattern: noun + di le + number.
a1-u05-q010,5,grammar,drill,choice,Which means one hundred?,lekgolo,,shome|lesome le nngwe|masome a mabedi,lekgolo = 100.
a1-u05-q011,5,grammar,checkpoint,choice,Which word means five?,tlhano,,tshela|nne|nngwe,tlhano = five.
a1-u05-q012,5,grammar,checkpoint,choice,Which means forty?,masome a mane,,masome a nne|mane|masome a mane le nngwe,Forty is masome a mane.
a1-u05-q013,5,grammar,checkpoint,choice,"What does ""dipula di le shome"" mean?",Ten pula,,Two pula|Ten years|Five pula,shome = ten; dipula = pula.
a1-u05-q014,5,grammar,checkpoint,type,Write in Setswana: six years.,dingwaga di le tshela,,,dingwaga (years) + di le + tshela (six).
a1-u05-q015,5,grammar,checkpoint,choice,"Someone asks ""O na le dingwaga di le kae?"" You are ten. What do you say?",Ke na le dingwaga di le shome.,,Ke bokae shome.|Ke na le shome kae.|Ke na le dingwaga kae.,Answer with the same pattern: Ke na le dingwaga di le shome.
a1-u05-q016,5,grammar,checkpoint,choice,You want to buy something. What do you ask?,Ke bokae?,,O bokae?|Kae bokae?|Ee bokae?,Ke bokae? = how much is it?
a1-u05-q017,5,grammar,checkpoint,choice,What does "tsotlhe" mean?,All | everything,,Only one|A lot|Or,tsotlhe = all.
a1-u05-q018,5,grammar,checkpoint,type,"Fill in: Dipula di ___ pedi. (two pula)",le,,,Quantity pattern: noun + di le + number.
a1-u05-q019,5,reading,checkpoint,choice,Where does this dialogue happen?,At a market stall,,At a restaurant|At a bus stop|At school,Rra Tiro sells things and answers prices.
a1-u05-q020,5,reading,checkpoint,type,What does Naledi want first? Write her words.,Ke batla lerotse,,,She says Ke batla lerotse — I want a sweet melon.
a1-u05-q021,5,reading,checkpoint,choice,How much is the lerotse?,Five pula,,Three pula|Five thebe|Two pula,Rra Tiro says Dipula di le tlhano.
a1-u05-q022,5,reading,checkpoint,choice,What else does Naledi buy?,Water and bread,,Fruit and porridge|Meat and morogo|Nothing,She says Ke batla metsi le borotho.
a1-u05-q023,5,reading,checkpoint,choice,How old is Rra Tiro?,Fifty,,Thirty|Five|He does not say,He says Ke na le dingwaga di le masome a matlhano.
a1-u05-q024,5,reading,checkpoint,choice,How does the seller greet?,Dumelang — to more than one person,,Dumela — to more than one person|Tsamaya sentle|Robala sentle,Dumelang is the plural greeting (Le batla eng also uses le).
a1-u06-q001,6,grammar,drill,choice,What is the plural of sejana?,dijana,,bajana|majana|disejana,se- nouns take the di- plural: sejana → dijana.
a1-u06-q002,6,grammar,drill,choice,What is the plural of setilo?,ditilo,,batilo|matilo|masetilo,se- → di-: setilo → ditilo.
a1-u06-q003,6,grammar,drill,type,Write the plural of senotlolo.,dinotlolo,,,se- → di-: senotlolo → dinotlolo.
a1-u06-q004,6,grammar,drill,choice,What is the plural of lebati?,mabati,,dibati|lebabati|dilebati,le- nouns take the ma- plural: mabati.
a1-u06-q005,6,grammar,drill,type,Write the plural of lebone.,mabone,,,le- → ma-: lebone → mabone.
a1-u06-q006,6,grammar,drill,choice,What is the plural of ntlo?,matlo,,dintlo|mantlo|bantlo,ntlo → matlo is irregular — learn the pair.
a1-u06-q007,6,grammar,drill,choice,What is the plural of lee?,mae,,dilee|malee|majwe,lee → mae is irregular — learn the pair.
a1-u06-q008,6,grammar,drill,choice,"What does ""Ke eng?"" mean?",What is it?,,Who is it?|Where is it?|How much is it?,eng = what; Ke eng? asks what something is.
a1-u06-q009,6,grammar,drill,type,Answer in Setswana: Ke eng? (a chair),Ke setilo,,,Answers to Ke eng? start with Ke.
a1-u06-q010,6,grammar,drill,choice,"What does ""Ga ke itse"" mean?",I don't know,,I don't want|I don't have|I'm not going,itse ends in -e so negation leaves it unchanged.
a1-u06-q011,6,grammar,checkpoint,choice,What is the plural of selo?,dilo,,baselo|maselo|dileselo,se- → di-: selo → dilo (maselo is plates — different word).
a1-u06-q012,6,grammar,checkpoint,choice,What is the plural of lentswe?,mantswe,,dintswe|bantswe|malentswe,le- → ma-: lentswe → mantswe.
a1-u06-q013,6,grammar,checkpoint,choice,What is the plural of kobo?,dikobo,,makobo|bokobo|matlo,Class 9 nouns like kobo take the di- plural (the rule comes in A2 — learn the pair).
a1-u06-q014,6,grammar,checkpoint,type,Write the plural of pitsa.,dipitsa,,,pitsa → dipitsa.
a1-u06-q015,6,grammar,checkpoint,choice,How do you answer "Ke eng?"?,Ke + the thing's name,,Ya + the thing's name|O + the thing's name|Ga ke + the thing's name,Answers to Ke eng? start with Ke.
a1-u06-q016,6,grammar,checkpoint,type,Answer in Setswana: Ke eng? (a book),Ke buka,,,Ke + buka: Ke buka.
a1-u06-q017,6,grammar,checkpoint,choice,Which pair follows the se- → di- rule?,sesepa → disepa,,ntlo → matlo|lee → mae|lebati → mabati,Sesepa is a se- noun: disepa.
a1-u06-q018,6,grammar,checkpoint,type,"Fill in: Ke eng? ___ tafole. (it is)",Ke,,,Answers to Ke eng? start with Ke.
a1-u06-q019,6,reading,checkpoint,choice,Who is visiting?,Bontle,,Lesedi|Thabo|Mma Kefilwe,Bontle asks A ke tsene? at Lesedi's home.
a1-u06-q020,6,reading,checkpoint,type,How does Bontle ask to come in? Write her words.,A ke tsene?,,,Her words are A ke tsene? — may I come in?
a1-u06-q021,6,reading,checkpoint,choice,What is the first thing Lesedi names?,A chair,,A cup|A key|A door,She answers Ke setilo.
a1-u06-q022,6,reading,checkpoint,choice,What is in the sejana?,Water,,Porridge|Bread|Salt,Lesedi says Ke sejana sa metsi — a cup of water.
a1-u06-q023,6,reading,checkpoint,choice,Why does Bontle say "Ga ke itse"?,She does not know what the thing is,,She cannot open the door|She does not want to enter|She is leaving,Ga ke itse = I don't know.
a1-u06-q024,6,reading,checkpoint,choice,What does Lesedi open?,The door,,The cup|The chair|The pot,She answers Bula lebati with Ee ke a e bula.
a1-u07-q001,7,grammar,drill,choice,How do you say "in town"?,kwa toropong,,kwa toropo|kwa toropoe|mo toropo,toropo takes -ng after kwa: kwa toropong.
a1-u07-q002,7,grammar,drill,choice,How do you say "at school"?,kwa sekolong,,kwa sekolo|mo sekolo|kwa sekoloe,sekolo takes -ng: kwa sekolong.
a1-u07-q003,7,grammar,drill,type,"Fill in: mo ___ (in the house) — the house is ntlo.",ntlung,,,ntlo ends in -o: ntlung.
a1-u07-q004,7,grammar,drill,type,"Fill in: kwa ___ (on the road) — the road is tsela.",tseleng,,,tsela ends in -a: -a becomes -eng — tseleng.
a1-u07-q005,7,grammar,drill,choice,Which is the exception that takes no -ng?,gae,,toropo|sekolo|tsela,"gae is the exception: kwa gae, ke ya gae."
a1-u07-q006,7,grammar,drill,choice,How do you say "kwa Gaborone"?,kwa Gaborone — no -ng on place names,,kwa Gaboroneng|mo Gaborone|kwa ga Gaborone,Place names take no -ng.
a1-u07-q007,7,grammar,drill,choice,How do you ask "Is it near"?,A go gaufi?,,Go gaufi?|O gaufi?|A o gaufi?,A go gaufi? is the fixed question.
a1-u07-q008,7,grammar,drill,choice,You are looking for a shop. What do you say?,Ke batla lebentlele.,,Lebentlele kae?|O batla lebentlele?|Ke lebentlele.,Learners use Ke batla… to look for a place.
a1-u07-q009,7,grammar,drill,type,"Fill in: O ___ kae? (where do you live)",dula,,,dula = live: O dula kae?
a1-u07-q010,7,grammar,drill,type,"Fill in: Tsamaya ka ___. (by bus)",bese,,,ka + the transport: ka bese.
a1-u07-q011,7,grammar,checkpoint,choice,How do you say "in the house"?,mo ntlung,,mo ntlo|kwa ntlong|mo ntle,ntlo → ntlung after mo.
a1-u07-q012,7,grammar,checkpoint,choice,How do you say "on the road"?,kwa tseleng,,kwa tsela|mo tsela|kwa tselong,tsela → tseleng (-a → -eng).
a1-u07-q013,7,grammar,checkpoint,choice,"Someone asks ""O dula kae?"" You live in the village. What do you say?",Ke dula kwa motseng.,,Ke dula kwa motse.|Ke ya motseng.|Ke dula mo motse.,motse → motseng after kwa.
a1-u07-q014,7,grammar,checkpoint,type,"Fill in: Ke batla lebentlele. A go ___? (is it far?)",kgakala,,,kgakala = far: A go kgakala?
a1-u07-q015,7,grammar,checkpoint,choice,Which is a correct answer to "O dula kae?"?,Ke dula kwa toropong.,,Ke ya toropong.|Ke dula toropo.|Ke bokae.,Answer with Ke dula + kwa + place -ng.
a1-u07-q016,7,grammar,checkpoint,type,"Fill in: Ke ya ___ (home — no kwa, no -ng).",gae,,,gae is the exception: ke ya gae.
a1-u07-q017,7,grammar,checkpoint,choice,Which is the right way to ask for directions?,Botsa tsela.,,Tseleng kae?|Tsela e kae?|Latela eng?,Learners use Ke batla… and Botsa tsela — not where-questions.
a1-u07-q018,7,grammar,checkpoint,type,"Fill in: A go gaufi? Nnyaa go ___. (far)",kgakala,,,kgakala = far.
a1-u07-q019,7,reading,checkpoint,choice,What is Naledi looking for?,The hospital,,A shop|A school only|The bus stop,She says Ke batla sepatela.
a1-u07-q020,7,reading,checkpoint,type,How does Mma Lesego say Naledi should travel on the road? Write her words.,Tsamaya ka tsela e,,,She says Tsamaya ka tsela e — follow this road.
a1-u07-q021,7,reading,checkpoint,choice,How does Naledi travel?,On foot,,By bus|By car|By taxi,She answers Ka maoto.
a1-u07-q022,7,reading,checkpoint,choice,Where does Naledi live?,In town (kwa toropong),,In the village|At home|In Gaborone only,She says Ke dula kwa toropong.
a1-u07-q023,7,reading,checkpoint,choice,What else does Naledi look for and how far is it?,A school — it is far,,A shop — it is near|A bank — it is near|A church — it is far,She asks about the sekolo: Ee go kgakala.
a1-u07-q024,7,reading,checkpoint,choice,What does Mma Lesego say at the end?,Tsamaya sentle,,Sala sentle|Robala sentle|Ke a leboga,Sepatela visitor leaving — Mma Lesego says Tsamaya sentle.
a1-u08-q001,8,grammar,drill,choice,Which day is Monday?,Mosupologo,,Labobedi|Tshipi|Matlhatso,Mosupologo = Monday.
a1-u08-q002,8,grammar,drill,choice,"What does ""ka Labotlhano"" mean?",On Friday,,On Thursday|On Sunday|In the morning,Labotlhano = Friday; ka = on.
a1-u08-q003,8,grammar,drill,choice,"What does ""ka mosogare"" mean?",In the morning,,At night|In the evening|Tomorrow,mosogare = morning.
a1-u08-q004,8,grammar,drill,choice,What does "bosego" mean?,Night,,Morning|Evening|Week,bosego = night.
a1-u08-q005,8,grammar,drill,type,"Fill in: Ka ___ ke bereka. (on Tuesday)",Labobedi,,,ka + the day: ka Labobedi.
a1-u08-q006,8,grammar,drill,choice,How do you ask what time someone wakes up?,O tsoga ka ura efe?,,O robala ka ura efe?|O tsoga kae?|Ura efe?,efe = which; O tsoga ka ura efe?
a1-u08-q007,8,grammar,drill,choice,"What does ""ka ura ya robedi"" mean?",At eight o'clock,,At seven o'clock|At ten o'clock|In eight hours,robedi = eight.
a1-u08-q008,8,grammar,drill,type,Write in Setswana: week.,beke,,,beke = week.
a1-u08-q009,8,grammar,drill,choice,What does "maabane" mean?,Yesterday,,Tomorrow|Now|In the evening,maabane = yesterday.
a1-u08-q010,8,grammar,drill,type,"Fill in: ka ___ (in the evening)",maitseboa,,,maitseboa = evening.
a1-u08-q011,8,grammar,checkpoint,choice,Which day comes after Labobedi?,Laboraro,,Labone|Mosupologo|Tshipi,Labobedi (Tuesday) is followed by Laboraro (Wednesday).
